Contract,Tenure_Group,Customer_Count,Churn_Rate,Churn_Rate_%
Month-to-month,0-12 months,1994,0.5135406218655968,51.35406218655968
Month-to-month,13-24 months,737,0.37720488466757124,37.720488466757125
Month-to-month,25-48 months,802,0.32917705735660846,32.917705735660846
Month-to-month,49-72 months,342,0.260233918128655,26.023391812865498
One year,49-72 months,634,0.12933753943217666,12.933753943217665
One year,25-48 months,518,0.10617760617760617,10.617760617760617
One year,0-12 months,124,0.10483870967741936,10.483870967741936
One year,13-24 months,197,0.08121827411167512,8.121827411167512
Two year,49-72 months,1263,0.0332541567695962,3.32541567695962
Two year,25-48 months,274,0.021897810218978103,2.18978102189781
